Survey Year,Fertility Rate,Current Use of Contraception Rate,Unmet Need for Family Planning
12/31/1992,6.2,5.9,27.8
12/31/1996,5.8,11.7,26
12/31/1999,5.6,15.6,22.3
12/31/2005,5.7,17.6,24.3
12/31/2010,5.4,23.6,22.3
12/31/2016,5.2,38.4,22.1
